Author,Title,Q_Count,E_Count,SC_Count,C_Count,D_Count,Co_Count,Qu_Count,Pa_Count,Sent_Count,Hyphen_Count,Word_Num,Unique_Words,Word_Length_Av,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Charles Dickens,Oliver Twist,13,7,20,7,0,95,48,0,69,6,941,410,6.2926829268292686,31,3,85,0,1,100,59,4,0,0,13,133,26,87,0,1,10,78,30,76,0,0,2,14,1,33,78,18,20,20,9,2,8,0,5
Charles Dickens,Oliver Twist,0,4,18,5,0,87,3,1,35,11,1046,521,6.09979633401222,62,3,107,3,0,136,86,2,0,0,16,128,57,62,0,1,7,64,21,58,3,0,5,26,0,33,84,25,34,4,1,8,5,0,8
Charles Dickens,Oliver Twist,7,10,17,5,4,89,54,1,60,10,948,422,5.866840731070496,40,8,102,3,0,109,43,0,2,0,14,105,23,75,1,1,8,81,29,57,2,0,4,27,2,51,60,24,16,24,18,10,5,0,7
Charles Dickens,Oliver Twist,8,9,19,4,4,86,42,0,52,5,967,458,5.9397590361445785,36,3,103,3,0,120,70,4,1,0,19,121,42,63,0,3,7,74,26,54,2,0,7,17,1,37,68,21,24,18,16,5,10,0,6
Charles Dickens,Oliver Twist,2,6,13,11,1,87,18,0,48,4,1012,494,5.873362445414847,34,4,126,1,0,141,58,5,1,0,5,156,36,69,0,2,4,58,39,58,1,1,9,23,1,23,86,25,25,8,5,8,4,0,3
Charles Dickens,Oliver Twist,15,8,14,3,1,104,87,0,74,4,889,395,5.548571428571429,32,7,86,4,0,101,50,1,1,0,11,109,28,68,0,0,3,67,30,63,3,0,4,17,6,36,64,24,25,19,19,3,7,0,4
Charles Dickens,Oliver Twist,7,23,17,3,3,89,69,1,88,4,897,381,5.315151515151515,34,7,95,2,0,98,40,1,1,0,15,111,17,69,0,1,4,107,32,56,1,1,2,14,3,41,57,18,13,32,25,3,6,0,4
Charles Dickens,Oliver Twist,5,6,15,4,2,101,47,0,54,13,961,469,5.868235294117647,34,2,108,3,1,123,57,0,4,0,19,133,22,72,0,0,2,73,23,44,3,0,6,25,4,42,61,24,24,11,24,5,2,0,12
Charles Dickens,Oliver Twist,3,10,15,4,3,106,21,1,54,2,981,442,5.73019801980198,41,1,92,0,0,125,63,2,1,0,14,116,38,33,0,0,5,74,31,67,2,0,8,39,4,51,82,27,35,9,8,9,6,0,7
Charles Dickens,Oliver Twist,8,13,17,8,0,89,46,0,83,2,935,414,5.5552631578947365,45,2,89,0,0,104,34,2,1,0,13,129,26,23,0,1,4,109,36,63,1,0,6,22,3,36,90,24,28,20,11,7,10,0,4
Charles Dickens,Oliver Twist,3,4,22,6,3,94,39,0,48,9,965,464,5.863529411764706,30,2,95,2,0,137,62,1,1,0,13,145,27,53,0,1,6,77,21,71,0,0,9,23,2,37,62,34,20,15,17,5,2,0,6
Charles Dickens,Oliver Twist,2,4,27,7,0,118,14,0,40,17,1003,509,5.858333333333333,52,3,118,2,0,141,60,1,1,0,5,153,68,60,0,2,2,43,21,54,1,0,5,17,0,16,80,38,25,4,3,10,1,0,6
Charles Dickens,Oliver Twist,6,5,26,5,2,93,32,0,56,14,977,455,5.495169082125604,50,4,116,2,0,126,66,3,0,0,6,149,22,36,0,1,4,76,17,64,1,0,12,24,2,22,83,37,23,12,8,4,2,2,2
Charles Dickens,Oliver Twist,2,14,22,7,1,99,35,1,60,8,961,471,5.731034482758621,47,6,113,6,0,139,78,2,0,0,7,158,28,55,0,0,3,60,23,49,1,0,6,15,0,26,70,26,17,10,5,6,4,0,2
Charles Dickens,Oliver Twist,3,12,19,8,2,89,44,1,70,10,950,477,5.680272108843537,43,8,111,2,0,120,53,2,0,0,5,140,40,62,1,1,5,64,24,51,1,0,9,15,2,31,86,28,21,9,3,9,5,0,1
Charles Dickens,Oliver Twist,4,11,14,3,7,100,35,0,62,7,955,467,5.580188679245283,45,7,118,2,0,124,63,2,0,0,8,152,28,60,0,2,7,63,20,64,3,0,2,19,1,30,69,20,20,9,16,8,3,0,4
